,City,County,Lat,Long,Radius,State,ZipCode,ZipScore,id,CountyScore
65,Austell,Cobb County,33.83,-84.64,4.0,Georgia,30106,88,13067,96
66,Ball Ground,Cherokee County,34.3,-84.3,10.0,Georgia,30107,64,13057,100
67,Bowdon,Carroll County,33.5,-85.3,10.0,Georgia,30108,81,13045,92
68,Bremen,Haralson County,33.7,-85.2,7.0,Georgia,30110,15,13143,97
69,Buchanan,Haralson County,33.9,-85.2,11.0,Georgia,30113,97,13143,97
70,Canton,Cherokee County,34.3,-84.5,10.0,Georgia,30114,56,13057,100
71,Canton,Cherokee County,34.2,-84.4,9.0,Georgia,30115,70,13057,100
72,Carrollton,Carroll County,33.6,-85.0,11.0,Georgia,30116,18,13045,92
73,Carrollton,Carroll County,33.6,-85.1,9.0,Georgia,30117,28,13045,92
74,Cartersville,Bartow County,34.2,-84.8,9.0,Georgia,30120,42,13015,98
75,Cartersville,Bartow County,34.2,-84.8,10.0,Georgia,30121,39,13015,98
76,Lithia Springs,Douglas County,33.76,-84.65,5.0,Georgia,30122,63,13097,97
77,Cave Spring,Floyd County,34.14,-85.35,7.0,Georgia,30124,74,13115,94
78,Cedartown,Polk County,34.0,-85.3,10.0,Georgia,30125,75,13233,85
79,Mableton,Cobb County,33.82,-84.55,5.0,Georgia,30126,37,13067,96
80,Powder Springs,Cobb County,33.9,-84.7,8.0,Georgia,30127,11,13067,96
81,Dallas,Paulding County,34.0,-84.9,8.0,Georgia,30132,70,13223,85
82,Douglasville,Douglas County,33.8,-84.8,7.0,Georgia,30134,67,13097,97
83,Douglasville,Douglas County,33.7,-84.7,9.0,Georgia,30135,82,13097,97
84,Emerson,Bartow County,34.12,-84.77,2.0,Georgia,30137,32,13015,98
85,Fairmount,Gordon County,34.4,-84.7,10.0,Georgia,30139,55,13129,59
86,Hiram,Paulding County,33.86,-84.76,5.0,Georgia,30141,85,13223,85
87,Jasper,Pickens County,34.5,-84.4,12.0,Georgia,30143,41,13227,94
88,Kennesaw,Cobb County,34.03,-84.6,5.0,Georgia,30144,26,13067,96
89,Kingston,Bartow County,34.2,-85.0,9.0,Georgia,30145,97,13015,98
90,Lindale,Floyd County,34.15,-85.22,5.0,Georgia,30147,62,13115,94
91,Marble Hill,Pickens County,34.44,-84.29,3.0,Georgia,30148,93,13227,94
92,Kennesaw,Cobb County,33.99,-84.64,5.0,Georgia,30152,35,13067,96
93,Rockmart,Polk County,34.0,-85.1,9.0,Georgia,30153,7,13233,85
94,Dallas,Paulding County,33.9,-84.9,10.0,Georgia,30157,76,13223,85
95,Rome,Floyd County,34.3,-85.2,15.0,Georgia,30161,38,13115,94
96,Rome,Floyd County,34.3,-85.3,13.0,Georgia,30165,94,13115,94
97,Austell,Cobb County,33.78,-84.59,4.0,Georgia,30168,67,13067,96
98,Roopville,Carroll County,33.4,-85.2,7.0,Georgia,30170,18,13045,92
99,Rydal,Bartow County,34.36,-84.74,7.0,Georgia,30171,49,13015,98
100,Silver Creek,Floyd County,34.14,-85.13,5.0,Georgia,30173,75,13115,94
101,Talking Rock,Pickens County,34.5,-84.5,11.0,Georgia,30175,76,13227,94
102,Tallapoosa,Haralson County,33.8,-85.3,10.0,Georgia,30176,2,13143,97
103,Tate,Pickens County,34.4,-84.37,2.0,Georgia,30177,29,13227,94
104,Taylorsville,Bartow County,34.1,-85.0,7.0,Georgia,30178,7,13015,98
105,Temple,Carroll County,33.8,-85.0,9.0,Georgia,30179,19,13045,92
106,Villa Rica,Carroll County,33.7,-84.9,9.0,Georgia,30180,61,13045,92
107,Waco,Carroll County,33.65,-85.25,7.0,Georgia,30182,45,13045,92
108,Waleska,Cherokee County,34.34,-84.59,6.0,Georgia,30183,41,13057,100
109,White,Bartow County,34.3,-84.7,10.0,Georgia,30184,21,13015,98
110,Whitesburg,Carroll County,33.51,-84.91,7.0,Georgia,30185,27,13045,92
111,Winston,Douglas County,33.7,-84.8,7.0,Georgia,30187,24,13097,97
112,Woodstock,Cherokee County,34.12,-84.45,6.0,Georgia,30188,34,13057,100
113,Woodstock,Cherokee County,34.13,-84.57,4.0,Georgia,30189,80,13057,100
114,Barnesville,Lamar County,33.1,-84.1,10.0,Georgia,30204,9,13171,68
115,Brooks,Fayette County,33.26,-84.46,7.0,Georgia,30205,50,13113,98
116,Concord,Pike County,33.1,-84.44,6.0,Georgia,30206,73,13231,83
117,Fairburn,Fulton County,33.6,-84.6,10.0,Georgia,30213,24,13121,98
118,Fayetteville,Fayette County,33.49,-84.48,7.0,Georgia,30214,98,13113,98
119,Fayetteville,Fayette County,33.4,-84.5,7.0,Georgia,30215,40,13113,98
120,Flovilla,Butts County,33.24,-83.87,5.0,Georgia,30216,63,13035,72
121,Franklin,Heard County,33.3,-85.1,12.0,Georgia,30217,52,13149,66
122,Gay,Meriwether County,33.13,-84.59,7.0,Georgia,30218,75,13199,95
123,Grantville,Coweta County,33.23,-84.84,7.0,Georgia,30220,8,13077,96
124,Greenville,Meriwether County,33.0,-84.7,10.0,Georgia,30222,59,13199,95
125,Griffin,Spalding County,33.3,-84.3,11.0,Georgia,30223,55,13255,90
126,Griffin,Spalding County,33.2,-84.2,8.0,Georgia,30224,90,13255,90
127,Hampton,Henry County,33.41,-84.3,7.0,Georgia,30228,80,13151,93
128,Hogansville,Troup County,33.2,-84.9,10.0,Georgia,30230,7,13285,92
129,Jackson,Butts County,33.3,-84.0,12.0,Georgia,30233,65,13035,72
130,Jenkinsburg,Butts County,33.32,-84.03,4.0,Georgia,30234,22,13035,72
131,Jonesboro,Clayton County,33.53,-84.33,7.0,Georgia,30236,60,13063,97
132,Jonesboro,Clayton County,33.5,-84.38,4.0,Georgia,30238,38,13063,97
133,Lagrange,Troup County,33.0,-85.1,13.0,Georgia,30240,92,13285,92
134,Lagrange,Troup County,33.0,-85.0,10.0,Georgia,30241,13,13285,92
135,Locust Grove,Henry County,33.3,-84.1,8.0,Georgia,30248,93,13151,93
136,Luthersville,Meriwether County,33.18,-84.7,5.0,Georgia,30251,48,13199,95
137,Mcdonough,Henry County,33.5,-84.0,9.0,Georgia,30252,90,13151,93
138,Mcdonough,Henry County,33.45,-84.19,6.0,Georgia,30253,79,13151,93
139,Meansville,Pike County,33.02,-84.32,5.0,Georgia,30256,9,13231,83
140,Milner,Lamar County,33.1,-84.2,7.0,Georgia,30257,68,13171,68
141,Molena,Pike County,33.0,-84.4,7.0,Georgia,30258,12,13231,83
142,Moreland,Coweta County,33.27,-84.72,6.0,Georgia,30259,63,13077,96
143,Morrow,Clayton County,33.58,-84.33,3.0,Georgia,30260,2,13063,97
144,Newnan,Coweta County,33.4,-84.9,11.0,Georgia,30263,88,13077,96
145,Newnan,Coweta County,33.42,-84.7,7.0,Georgia,30265,22,13077,96
146,Palmetto,Fulton County,33.6,-84.7,9.0,Georgia,30268,55,13121,98
147,Peachtree City,Fayette County,33.39,-84.57,5.0,Georgia,30269,72,13113,98
148,Rex,Clayton County,33.58,-84.27,2.0,Georgia,30273,36,13063,97
149,Riverdale,Clayton County,33.55,-84.4,5.0,Georgia,30274,88,13063,97
150,Senoia,Coweta County,33.3,-84.6,8.0,Georgia,30276,25,13077,96
151,Sharpsburg,Coweta County,33.4,-84.6,9.0,Georgia,30277,54,13077,96
152,Stockbridge,Henry County,33.6,-84.2,8.0,Georgia,30281,84,13151,93
153,The Rock,Upson County,32.97,-84.25,3.0,Georgia,30285,77,13293,94
154,Thomaston,Upson County,32.9,-84.3,12.0,Georgia,30286,40,13293,94
155,Conley,Clayton County,33.65,-84.32,2.0,Georgia,30288,10,13063,97
156,Tyrone,Fayette County,33.48,-84.59,4.0,Georgia,30290,61,13113,98
157,Union City,Fulton County,33.57,-84.54,3.0,Georgia,30291,38,13121,98
158,Williamson,Pike County,33.17,-84.41,7.0,Georgia,30292,71,13231,83
159,Woodbury,Meriwether County,33.0,-84.6,8.0,Georgia,30293,13,13199,95
160,Ellenwood,DeKalb County,33.64,-84.25,6.0,Georgia,30294,29,13089,97
161,Zebulon,Pike County,33.1,-84.31,6.0,Georgia,30295,15,13231,83
162,Riverdale,Clayton County,33.56,-84.45,3.0,Georgia,30296,73,13063,97
163,Forest Park,Clayton County,33.61,-84.36,3.0,Georgia,30297,27,13063,97
164,Atlanta,Fulton County,33.75,-84.39,1.0,Georgia,30303,43,13121,98
165,Atlanta,Fulton County,,,,Georgia,30304,9,13121,98
166,Atlanta,Fulton County,33.84,-84.38,2.0,Georgia,30305,52,13121,98
167,Atlanta,Fulton County,33.79,-84.35,2.0,Georgia,30306,87,13121,98
168,Atlanta,DeKalb County,33.77,-84.34,2.0,Georgia,30307,15,13089,97
169,Atlanta,Fulton County,33.77,-84.38,1.0,Georgia,30308,46,13121,98
170,Atlanta,Fulton County,33.8,-84.39,2.0,Georgia,30309,67,13121,98
171,Atlanta,Fulton County,33.73,-84.43,3.0,Georgia,30310,78,13121,98
172,Atlanta,Fulton County,33.73,-84.47,3.0,Georgia,30311,29,13121,98
173,Atlanta,Fulton County,33.74,-84.38,2.0,Georgia,30312,65,13121,98
174,Atlanta,Fulton County,33.76,-84.4,2.0,Georgia,30313,7,13121,98
175,Atlanta,Fulton County,33.76,-84.43,2.0,Georgia,30314,48,13121,98
176,Atlanta,Fulton County,33.7,-84.38,3.0,Georgia,30315,81,13121,98
177,Atlanta,DeKalb County,33.74,-84.34,3.0,Georgia,30316,17,13089,97
178,Atlanta,DeKalb County,33.75,-84.32,2.0,Georgia,30317,61,13089,97
179,Atlanta,Fulton County,33.79,-84.44,4.0,Georgia,30318,76,13121,98
180,Atlanta,DeKalb County,33.86,-84.35,4.0,Georgia,30319,68,13089,97
181,Atlanta,Fulton County,33.82,-84.36,2.0,Georgia,30324,47,13121,98
182,Atlanta,Fulton County,33.85,-84.36,0.7954545454545454,Georgia,30326,56,13121,98
183,Atlanta,Fulton County,33.86,-84.42,4.0,Georgia,30327,94,13121,98
184,Atlanta,Fulton County,33.93,-84.4,3.0,Georgia,30328,6,13121,98
185,Atlanta,DeKalb County,33.83,-84.33,3.0,Georgia,30329,59,13089,97
186,Atlanta,Fulton County,33.72,-84.56,7.0,Georgia,30331,98,13121,98
187,Atlanta,Fulton County,33.749,-84.387,0.17045454545454544,Georgia,30334,24,13121,98
188,Atlanta,Fulton County,33.74,-84.57,4.0,Georgia,30336,81,13121,98
189,Atlanta,Fulton County,33.64,-84.44,3.0,Georgia,30337,6,13121,98
190,Atlanta,DeKalb County,33.94,-84.32,3.0,Georgia,30338,47,13089,97
191,Atlanta,Cobb County,33.87,-84.45,4.0,Georgia,30339,9,13067,96
192,Atlanta,DeKalb County,33.89,-84.23,3.0,Georgia,30340,89,13089,97
193,Atlanta,DeKalb County,33.89,-84.28,3.0,Georgia,30341,74,13089,97
194,Atlanta,Fulton County,33.88,-84.38,3.0,Georgia,30342,93,13121,98
195,Atlanta,Fulton County,33.68,-84.44,4.0,Georgia,30344,43,13121,98
196,Atlanta,DeKalb County,33.85,-84.28,2.0,Georgia,30345,97,13089,97
197,Atlanta,DeKalb County,33.92,-84.34,0.7386363636363636,Georgia,30346,27,13089,97
198,Atlanta,Fulton County,,,,Georgia,30347,27,13121,98
199,Atlanta,Fulton County,33.6,-84.5,9.0,Georgia,30349,55,13121,98
200,Atlanta,Fulton County,33.98,-84.32,4.0,Georgia,30350,96,13121,98
201,Atlanta,Fulton County,33.66,-84.4,3.0,Georgia,30354,17,13121,98
202,Atlanta,DeKalb County,33.93,-84.26,3.0,Georgia,30360,68,13089,97
203,Atlanta,Fulton County,,,,Georgia,30361,55,13121,98
204,Atlanta,Fulton County,33.792,-84.399,0.5681818181818182,Georgia,30363,65,13121,98
205,Atlanta,Fulton County,,,,Georgia,30369,46,13121,98
206,Atlanta,Fulton County,,,,Georgia,30376,6,13121,98
207,Atlanta,Fulton County,,,,Georgia,30379,97,13121,98
208,Swainsboro,Emanuel County,32.6,-82.4,16.0,Georgia,30401,57,13107,89
209,Ailey,Montgomery County,32.2,-82.5,8.0,Georgia,30410,66,13209,100
210,Alamo,Wheeler County,32.1,-82.8,11.0,Georgia,30411,73,13309,73
211,Bartow,Jefferson County,32.9,-82.5,10.0,Georgia,30413,75,13163,99
212,Brooklet,Bulloch County,32.4,-81.6,11.0,Georgia,30415,31,13031,89
213,Claxton,Evans County,32.2,-81.9,11.0,Georgia,30417,27,13109,42
214,Cobbtown,Tattnall County,32.26,-82.14,7.0,Georgia,30420,9,13267,88
215,Collins,Tattnall County,32.2,-82.1,8.0,Georgia,30421,84,13267,88
216,Garfield,Emanuel County,32.6,-82.0,12.0,Georgia,30425,64,13107,89
217,Girard,Burke County,33.0,-81.7,11.0,Georgia,30426,69,13033,77
218,Glennville,Tattnall County,31.9,-81.9,13.0,Georgia,30427,13,13267,88
219,Glenwood,Wheeler County,32.2,-82.7,20.0,Georgia,30428,49,13309,73
220,Louisville,Jefferson County,33.0,-82.4,15.0,Georgia,30434,85,13163,99
221,Lyons,Toombs County,32.2,-82.3,21.0,Georgia,30436,11,13279,99
222,Metter,Candler County,32.4,-82.1,12.0,Georgia,30439,0,13043,90
223,Midville,Emanuel County,32.8,-82.3,14.0,Georgia,30441,28,13107,89
224,Millen,Jenkins County,32.8,-82.0,14.0,Georgia,30442,52,13165,95
225,Mount Vernon,Montgomery County,32.2,-82.6,11.0,Georgia,30445,100,13209,100
226,Newington,Screven County,32.6,-81.5,8.0,Georgia,30446,79,13251,89
227,Portal,Bulloch County,32.56,-81.94,6.0,Georgia,30450,23,13031,89
228,Register,Bulloch County,32.3,-81.9,7.0,Georgia,30452,75,13031,89
229,Reidsville,Tattnall County,32.0,-82.1,10.0,Georgia,30453,62,13267,88
230,Rockledge,Laurens County,32.44,-82.73,6.0,Georgia,30454,69,13175,95
231,Rocky Ford,Screven County,32.7,-81.8,7.0,Georgia,30455,89,13251,89
232,Sardis,Burke County,33.0,-81.8,8.0,Georgia,30456,3,13033,77
233,Soperton,Treutlen County,32.4,-82.5,14.0,Georgia,30457,52,13283,92
234,Statesboro,Bulloch County,32.4,-81.9,13.0,Georgia,30458,89,13031,89
235,Statesboro,Bulloch County,32.5,-81.7,12.0,Georgia,30461,45,13031,89
236,Sylvania,Screven County,32.7,-81.6,20.0,Georgia,30467,35,13251,89
237,Tarrytown,Montgomery County,32.29,-82.51,6.0,Georgia,30470,7,13209,100
238,Twin City,Emanuel County,32.5,-82.1,15.0,Georgia,30471,55,13107,89
239,Uvalda,Montgomery County,32.0,-82.5,9.0,Georgia,30473,5,13209,100
240,Vidalia,Toombs County,32.2,-82.4,13.0,Georgia,30474,99,13279,99
241,Wadley,Jefferson County,32.9,-82.4,9.0,Georgia,30477,63,13163,99
242,Gainesville,Hall County,34.32,-83.81,5.0,Georgia,30501,48,13139,87
243,Gainesville,Hall County,34.27,-83.89,5.0,Georgia,30504,69,13139,87
244,Gainesville,Hall County,34.3,-83.9,12.0,Georgia,30506,29,13139,87
245,Gainesville,Hall County,34.3,-83.8,8.0,Georgia,30507,87,13139,87
246,Alto,Habersham County,34.45,-83.57,6.0,Georgia,30510,83,13137,99
247,Baldwin,Banks County,34.46,-83.47,6.0,Georgia,30511,6,13011,100
248,Blairsville,Union County,34.9,-84.0,14.0,Georgia,30512,44,13291,44
249,Blue Ridge,Fannin County,34.8,-84.3,16.0,Georgia,30513,99,13111,99
250,Bowersville,Hart County,34.38,-83.03,5.0,Georgia,30516,57,13147,58
251,Braselton,Jackson County,34.13,-83.79,5.0,Georgia,30517,5,13157,97
252,Buford,Gwinnett County,34.12,-84.01,6.0,Georgia,30518,31,13135,99
253,Buford,Gwinnett County,34.09,-83.94,6.0,Georgia,30519,22,13135,99
254,Canon,Franklin County,34.3,-83.1,8.0,Georgia,30520,92,13119,97
255,Carnesville,Franklin County,34.4,-83.3,9.0,Georgia,30521,97,13119,97
256,Cherry Log,Gilmer County,34.8,-84.4,9.0,Georgia,30522,35,13123,90
257,Clarkesville,Habersham County,34.7,-83.5,14.0,Georgia,30523,99,13137,99
258,Clayton,Rabun County,34.9,-83.4,18.0,Georgia,30525,1,13241,92
259,Clermont,Hall County,34.48,-83.77,5.0,Georgia,30527,37,13139,87
260,Cleveland,White County,34.6,-83.8,13.0,Georgia,30528,71,13311,97
261,Commerce,Jackson County,34.2,-83.5,8.0,Georgia,30529,76,13157,97
262,Commerce,Banks County,34.2,-83.4,11.0,Georgia,30530,14,13011,100
263,Cornelia,Habersham County,34.5,-83.6,8.0,Georgia,30531,87,13137,99
264,Dahlonega,Lumpkin County,34.5,-84.0,13.0,Georgia,30533,62,13187,99
265,Dawsonville,Dawson County,34.5,-84.1,13.0,Georgia,30534,47,13085,59
266,Demorest,Habersham County,34.59,-83.57,5.0,Georgia,30535,99,13137,99
267,Ellijay,Gilmer County,34.7,-84.4,11.0,Georgia,30536,59,13123,90
268,Dillard,Rabun County,34.96,-83.35,5.0,Georgia,30537,88,13241,92
269,Eastanollee,Stephens County,34.5,-83.27,5.0,Georgia,30538,83,13257,83
270,East Ellijay,Gilmer County,,,,Georgia,30539,16,13123,90
271,Ellijay,Gilmer County,34.7,-84.5,13.0,Georgia,30540,90,13123,90
272,Epworth,Fannin County,34.9,-84.5,9.0,Georgia,30541,15,13111,99
273,Flowery Branch,Hall County,34.17,-83.91,6.0,Georgia,30542,40,13139,87
274,Gillsville,Hall County,34.29,-83.65,6.0,Georgia,30543,17,13139,87
275,Helen,White County,34.73,-83.77,6.0,Georgia,30545,20,13311,97
276,Hiawassee,Towns County,34.9,-83.7,10.0,Georgia,30546,41,13281,91
277,Homer,Banks County,34.37,-83.47,6.0,Georgia,30547,100,13011,100
278,Hoschton,Jackson County,34.1,-83.8,8.0,Georgia,30548,30,13157,97
279,Jefferson,Jackson County,34.1,-83.6,8.0,Georgia,30549,15,13157,97
280,Lakemont,Rabun County,34.8,-83.4,8.0,Georgia,30552,44,13241,92
281,Lavonia,Franklin County,34.4,-83.1,8.0,Georgia,30553,60,13119,97
282,Lula,Hall County,34.4,-83.6,9.0,Georgia,30554,5,13139,87
283,Mc Caysville,Fannin County,34.97,-84.42,5.0,Georgia,30555,86,13111,99
284,Martin,Stephens County,34.5,-83.2,8.0,Georgia,30557,59,13257,83
285,Maysville,Jackson County,34.3,-83.6,8.0,Georgia,30558,97,13157,97
286,Mineral Bluff,Fannin County,34.9,-84.2,8.0,Georgia,30559,97,13111,99
287,Morganton,Fannin County,34.9,-84.2,9.0,Georgia,30560,39,13111,99
288,Mount Airy,Habersham County,34.56,-83.46,5.0,Georgia,30563,43,13137,99
289,Murrayville,Hall County,34.5,-83.9,7.0,Georgia,30564,10,13139,87
290,Nicholson,Jackson County,34.09,-83.41,4.0,Georgia,30565,28,13157,97
291,Oakwood,Hall County,34.24,-83.89,2.0,Georgia,30566,87,13139,87
292,Pendergrass,Jackson County,34.19,-83.68,6.0,Georgia,30567,74,13157,97
293,Rabun Gap,Rabun County,34.95,-83.42,6.0,Georgia,30568,92,13241,92
294,Sautee Nacoochee,White County,34.72,-83.7,7.0,Georgia,30571,52,13311,97
295,Suches,Union County,34.7,-84.1,9.0,Georgia,30572,19,13291,44
296,Talmo,Jackson County,34.2,-83.72,3.0,Georgia,30575,30,13157,97
297,Tiger,Rabun County,34.8,-83.4,8.0,Georgia,30576,80,13241,92
298,Toccoa,Stephens County,34.6,-83.3,13.0,Georgia,30577,78,13257,83
299,Young Harris,Towns County,34.91,-83.9,7.0,Georgia,30582,29,13281,91
300,Athens,Clarke County,34.0,-83.35,4.0,Georgia,30601,76,13059,100
301,Athens,Clarke County,33.9,-83.32,6.0,Georgia,30605,74,13059,100
302,Athens,Clarke County,33.94,-83.44,5.0,Georgia,30606,48,13059,100
303,Athens,Clarke County,34.03,-83.45,5.0,Georgia,30607,72,13059,100
304,Arnoldsville,Oglethorpe County,33.85,-83.25,7.0,Georgia,30619,19,13221,94
305,Bethlehem,Barrow County,33.93,-83.75,6.0,Georgia,30620,2,13013,95
306,Bishop,Oconee County,33.8,-83.48,6.0,Georgia,30621,41,13219,99
307,Bogart,Oconee County,33.9,-83.5,7.0,Georgia,30622,99,13219,99
308,Bowman,Elbert County,34.2,-83.1,8.0,Georgia,30624,8,13105,73
309,Buckhead,Morgan County,33.53,-83.36,6.0,Georgia,30625,66,13211,90
310,Carlton,Oglethorpe County,34.0,-82.9,11.0,Georgia,30627,73,13221,94
311,Colbert,Madison County,34.03,-83.22,7.0,Georgia,30628,35,13195,98
312,Comer,Madison County,34.1,-83.1,9.0,Georgia,30629,33,13195,98
313,Crawford,Oglethorpe County,33.9,-83.15,7.0,Georgia,30630,94,13221,94
314,Crawfordville,Taliaferro County,33.6,-82.8,12.0,Georgia,30631,26,13265,32
315,Danielsville,Madison County,34.2,-83.3,8.0,Georgia,30633,52,13195,98
316,Dewy Rose,Elbert County,34.2,-82.9,7.0,Georgia,30634,70,13105,73
317,Elberton,Elbert County,34.1,-82.8,16.0,Georgia,30635,37,13105,73
318,Good Hope,Walton County,33.78,-83.57,5.0,Georgia,30641,21,13297,94
319,Greensboro,Greene County,33.5,-83.2,15.0,Georgia,30642,98,13133,98
320,Hartwell,Hart County,34.4,-82.9,10.0,Georgia,30643,7,13147,58
321,Hull,Madison County,34.08,-83.31,7.0,Georgia,30646,30,13195,98
322,Lexington,Oglethorpe County,33.9,-83.0,9.0,Georgia,30648,51,13221,94
323,Madison,Morgan County,33.6,-83.4,14.0,Georgia,30650,90,13211,90
324,Monroe,Walton County,33.8,-83.7,10.0,Georgia,30655,47,13297,94
325,Monroe,Walton County,33.9,-83.7,8.0,Georgia,30656,58,13297,94
326,Rayle,Wilkes County,33.8,-82.9,9.0,Georgia,30660,52,13317,79
327,Royston,Franklin County,34.3,-83.1,9.0,Georgia,30662,72,13119,97
328,Rutledge,Morgan County,33.6,-83.6,8.0,Georgia,30663,65,13211,90
329,Statham,Barrow County,33.96,-83.58,7.0,Georgia,30666,95,13013,95
330,Stephens,Oglethorpe County,33.8,-83.2,8.0,Georgia,30667,26,13221,94
331,Tignall,Wilkes County,33.9,-82.7,13.0,Georgia,30668,64,13317,79
332,Union Point,Greene County,33.7,-83.1,13.0,Georgia,30669,3,13133,98
